,Player_Name,Year,Rounds,Avg_Score,Wins,Top_10,Points,Fairway_Pct,Avg_Drive_Distance,GIR_Pct,Scrambling_Pct,Avg_SG_Putts,Avg_SG_OTT,Avg_SG_APP,Avg_SG_Total,Earnings
82,Michael Thompson,2019,71,70.662,,4,527.0,69.12,288.4,65.73,62.79,.339,-.045,.018,.426,"$1,307,816"
83,Adam Schenk,2019,102,70.817,,3,524.0,61.27,300.8,68.61,60.71,.341,.080,.142,.487,"$1,257,158"
84,Henrik Stenson,2019,58,70.089,,3,523.0,72.13,282.7,66.11,62.30,.106,-.293,1.149,.971,"$1,397,370"
85,Brian Harman,2019,91,71.016,,4,509.0,68.17,288.4,64.17,60.10,.090,.312,-.301,.346,"$1,342,778"
86,Luke List,2019,66,71.223,,4,497.0,53.06,313.3,65.43,54.59,-.280,.481,-.005,.202,"$1,391,408"
87,Branden Grace,2019,76,71.421,,2,495.0,57.22,295.1,66.09,55.18,-.520,.024,.110,-.107,"$1,373,185"
88,Sam Burns,2019,80,70.995,,3,493.0,57.17,307.2,64.74,59.60,.369,.277,-.293,.050,"$1,117,312"
89,Wyndham Clark,2019,87,70.595,,3,491.0,56.37,311.8,65.95,61.23,.640,.084,-.572,.413,"$1,278,721"
90,Roger Sloan,2019,88,71.034,,3,489.0,61.83,295.8,65.08,58.90,.101,-.072,.096,.020,"$1,015,661"
91,Bud Cauley,2019,82,70.574,,2,482.0,63.26,293.4,67.21,64.05,-.052,-.163,.196,.558,"$1,090,018"
92,J.J. Spaun,2019,90,71.034,,2,479.0,63.56,290.4,68.36,59.53,-.021,-.046,.094,.030,"$1,205,977"
93,Chris Stroud,2019,70,71.644,,4,473.0,58.29,289.8,62.99,59.81,.022,-.557,-.229,-.729,"$1,075,552"
94,Brice Garnett,2019,87,71.067,,2,466.0,71.45,287.4,69.54,58.15,.091,.281,-.253,-.034,"$1,019,594"
95,Mackenzie Hughes,2019,80,70.907,,2,466.0,57.98,297.2,65.28,61.05,-.014,-.068,.032,-.044,"$1,022,081"
96,Talor Gooch,2019,54,70.629,,2,463.0,58.68,297.4,69.96,60.27,.111,-.240,.604,.370,"$1,067,089"
97,Kyle Stanley,2019,81,71.094,,1,460.0,69.08,288.9,67.47,58.65,-.297,.037,.309,-.013,"$1,117,604"
98,Nick Watney,2019,87,70.908,,3,460.0,59.29,301.7,68.61,59.49,.012,.010,.071,.133,"$1,008,964"
99,Patrick Rodgers,2019,55,71.365,,1,459.0,57.24,299.8,64.71,57.10,.428,.157,-.383,.231,"$1,046,838"
100,Cameron Tringale,2019,73,70.796,,2,459.0,60.53,296.9,69.66,61.13,.204,-.108,.327,.546,"$1,049,106"
101,Harold Varner III,2019,84,70.716,,2,458.0,59.97,302.0,67.21,60.33,-.202,.260,.093,.227,"$1,553,149"
102,Sam Ryder,2019,76,70.912,,2,458.0,63.62,293.9,67.98,62.89,.427,.038,.158,.462,"$1,060,735"
103,Kyoung-Hoon Lee,2019,92,71.307,,2,453.0,66.01,286.2,67.66,57.67,-.096,.125,-.011,-.107,"$1,061,457"
104,Scott Stallings,2019,82,71.443,,2,452.0,58.97,297.0,66.74,58.46,-.329,.009,.259,-.078,"$1,080,451"
